BOLSIG+ script file: glow-discharge/CR/1Torr_100V/Transport/input.300K.bolsig.dat
READCOLLISIONS
Ar
glow-discharge/nominal-crs/BSR_CRModel.txt
C1    Ar    Elastic                                             
C2    Ar    Excitation    14.56 eV                              
C3    Ar    Excitation    11.55 eV                              
C4    Ar    Excitation    11.62 eV                              
C5    Ar    Excitation    11.72 eV                              
C6    Ar    Excitation    11.83 eV                              
C7    Ar    Excitation    13.07 eV                              
C8    Ar    Excitation    13.20 eV                              
C9    Ar    Excitation    13.23 eV                              
C10   Ar    Excitation    13.28 eV                              
C11   Ar    Excitation    13.30 eV                              
C12   Ar    Excitation    13.40 eV                              
C13   Ar    Excitation    13.40 eV                              
C14   Ar    Excitation    13.42 eV                              
C15   Ar    Excitation    13.44 eV                              
C16   Ar    Excitation    13.59 eV                              
C17   Ar    Excitation    14.07 eV                              
C18   Ar    Excitation    14.08 eV                              
C19   Ar    Excitation    14.10 eV                              
C20   Ar    Excitation    14.15 eV                              
C21   Ar    Excitation    14.16 eV                              
C22   Ar    Excitation    14.16 eV                              
C23   Ar    Excitation    14.18 eV                              
C24   Ar    Excitation    14.20 eV                              
C25   Ar    Excitation    14.21 eV                              
C26   Ar    Excitation    14.23 eV                              
C27   Ar    Excitation    14.31 eV                              
C28   Ar    Excitation    14.33 eV                              
C29   Ar    Excitation    14.34 eV                              
C30   Ar    Excitation    14.34 eV                              
C31   Ar    Excitation    14.35 eV                              
C32   Ar    Excitation    14.38 eV                              
C33   Ar    Ionization    15.76 eV                              
Ar(1s5)
glow-discharge/nominal-crs/BSR_CRModel.txt
C34   Ar(1s5)    Excitation    0.075 eV                         
C35   Ar(1s5)    Excitation    0.17 eV                          
C36   Ar(1s5)    Excitation    0.28 eV                          
C37   Ar(1s5)    Excitation    1.52 eV                          
C38   Ar(1s5)    Excitation    1.66 eV                          
C39   Ar(1s5)    Excitation    1.68 eV                          
C40   Ar(1s5)    Excitation    1.73 eV                          
C41   Ar(1s5)    Excitation    1.75 eV                          
C42   Ar(1s5)    Excitation    1.85 eV                          
C43   Ar(1s5)    Excitation    1.85 eV                          
C44   Ar(1s5)    Excitation    1.87 eV                          
C45   Ar(1s5)    Excitation    1.89 eV                          
C46   Ar(1s5)    Excitation    2.04 eV                          
C47   Ar(1s5)    Excitation    2.52 eV                          
C48   Ar(1s5)    Excitation    2.53 eV                          
C49   Ar(1s5)    Excitation    2.55 eV                          
C50   Ar(1s5)    Excitation    2.60 eV                          
C51   Ar(1s5)    Excitation    2.62 eV                          
C52   Ar(1s5)    Excitation    2.62 eV                          
C53   Ar(1s5)    Excitation    2.63 eV                          
C54   Ar(1s5)    Excitation    2.65 eV                          
C55   Ar(1s5)    Excitation    2.66 eV                          
C56   Ar(1s5)    Excitation    2.68 eV                          
C57   Ar(1s5)    Excitation    2.76 eV                          
C58   Ar(1s5)    Excitation    2.78 eV                          
C59   Ar(1s5)    Excitation    2.79 eV                          
C60   Ar(1s5)    Excitation    2.79 eV                          
C61   Ar(1s5)    Excitation    2.80 eV                          
C62   Ar(1s5)    Excitation    2.83 eV                          
C63   Ar(1s5)    Ionization    4.21 eV                          
Ar(1s4)
glow-discharge/nominal-crs/BSR_CRModel.txt
C64   Ar(1s4)    Excitation    0.099 eV                         
C65   Ar(1s4)    Excitation    0.20 eV                          
C66   Ar(1s4)    Excitation    1.45 eV                          
C67   Ar(1s4)    Excitation    1.58 eV                          
C68   Ar(1s4)    Excitation    1.60 eV                          
C69   Ar(1s4)    Excitation    1.65 eV                          
C70   Ar(1s4)    Excitation    1.68 eV                          
C71   Ar(1s4)    Excitation    1.77 eV                          
C72   Ar(1s4)    Excitation    1.77 eV                          
C73   Ar(1s4)    Excitation    1.79 eV                          
C74   Ar(1s4)    Excitation    1.82 eV                          
C75   Ar(1s4)    Excitation    1.97 eV                          
C76   Ar(1s4)    Excitation    2.44 eV                          
C77   Ar(1s4)    Excitation    2.46 eV                          
C78   Ar(1s4)    Excitation    2.48 eV                          
C79   Ar(1s4)    Excitation    2.52 eV                          
C80   Ar(1s4)    Excitation    2.54 eV                          
C81   Ar(1s4)    Excitation    2.54 eV                          
C82   Ar(1s4)    Excitation    2.56 eV                          
C83   Ar(1s4)    Excitation    2.58 eV                          
C84   Ar(1s4)    Excitation    2.59 eV                          
C85   Ar(1s4)    Excitation    2.60 eV                          
C86   Ar(1s4)    Excitation    2.69 eV                          
C87   Ar(1s4)    Excitation    2.71 eV                          
C88   Ar(1s4)    Excitation    2.71 eV                          
C89   Ar(1s4)    Excitation    2.72 eV                          
C90   Ar(1s4)    Excitation    2.72 eV                          
C91   Ar(1s4)    Excitation    2.75 eV                          
C92   Ar(1s4)    Ionization    4.14 eV                          
Ar(1s3)
glow-discharge/nominal-crs/BSR_CRModel.txt
C93   Ar(1s3)    Excitation    0.10 eV                          
C94   Ar(1s3)    Excitation    1.35 eV                          
C95   Ar(1s3)    Excitation    1.48 eV                          
C96   Ar(1s3)    Excitation    1.50 eV                          
C97   Ar(1s3)    Excitation    1.55 eV                          
C98   Ar(1s3)    Excitation    1.58 eV                          
C99   Ar(1s3)    Excitation    1.67 eV                          
C100  Ar(1s3)    Excitation    1.67 eV                          
C101  Ar(1s3)    Excitation    1.70 eV                          
C102  Ar(1s3)    Excitation    1.72 eV                          
C103  Ar(1s3)    Excitation    1.87 eV                          
C104  Ar(1s3)    Excitation    2.35 eV                          
C105  Ar(1s3)    Excitation    2.36 eV                          
C106  Ar(1s3)    Excitation    2.38 eV                          
C107  Ar(1s3)    Excitation    2.43 eV                          
C108  Ar(1s3)    Excitation    2.44 eV                          
C109  Ar(1s3)    Excitation    2.44 eV                          
C110  Ar(1s3)    Excitation    2.46 eV                          
C111  Ar(1s3)    Excitation    2.48 eV                          
C112  Ar(1s3)    Excitation    2.49 eV                          
C113  Ar(1s3)    Excitation    2.50 eV                          
C114  Ar(1s3)    Excitation    2.59 eV                          
C115  Ar(1s3)    Excitation    2.61 eV                          
C116  Ar(1s3)    Excitation    2.61 eV                          
C117  Ar(1s3)    Excitation    2.62 eV                          
C118  Ar(1s3)    Excitation    2.62 eV                          
C119  Ar(1s3)    Excitation    2.65 eV                          
C120  Ar(1s3)    Ionization    4.04 eV                          
Ar(1s2)
glow-discharge/nominal-crs/BSR_CRModel.txt
C121  Ar(1s2)    Excitation    1.25 eV                          
C122  Ar(1s2)    Excitation    1.38 eV                          
