,c1,c2,unprimed,primed
,4s,4p,9.299E-01,9.110E-01
,4s,5p,6.518E-01,5.848E-01
,4s,6p,4.456E-01,6.184E-01
,4s,7p,3.694E-01,3.463E-01
,4s,8p,1.692E-01,1.395E-01
,4s,9p ,7.215E-02,5.530E-01
,4s,3d,1.430E+01,1.509E+01
,4s,4d,5.948E-01,6.799E-01
,4s,5d,7.510E-02,6.245E-02
,4s,6d,9.370E-03,1.028E-02
,4s,7d,2.857E-03,5.610E-03
,4s,8d,2.673E-04,nan
,4s,4f,4.100E-01,4.410E-01
,4s,5f,1.781E-01,1.910E-01
,4s,6f,5.299E-02,5.731E-02
,4s,7f,8.669E-03,9.713E-03
,4p,5s,2.832E-01,2.784E-01
,4p,6s,1.082E+00,1.097E+00
,4p,7s,1.118E+00,1.140E+00
,4p,8s,1.132E+00,1.150E+00
,4p,9s,1.124E+00,1.143E+00
,4p,10s,1.079E+00,1.102E+00
,4p,3d,7.983E-01,9.132E-01
,4p,4d,9.414E-01,1.010E+00
,4p,5d,8.359E-01,8.385E-01
,4p,6d,8.438E-01,8.502E-01
,4p,7d,8.613E-01,8.613E-01
,4p,8d,8.602E-01,4.808E-02
,4p,4f,1.093E+01,1.216E+01
,4p,5f,3.375E+00,3.675E+00
,4p,6f,1.243E+00,1.346E+00
,4p,7f,4.404E-01,4.793E-01
,3d,5s,2.810E+02,1.781E+03
,3d,6s,6.543E-01,6.995E-01
,3d,7s,4.398E-02,5.134E-02
,3d,8s,1.030E-02,2.686E-02
,3d,9s,6.931E-03,8.543E-03
,3d,10s,1.200E-03,1.167E-03
,3d,5p,9.776E-01,9.900E-01
,3d,6p,1.089E+00,1.153E+00
,3d,7p,1.135E+00,5.608E-01
,3d,8p,1.178E+00,1.430E-01
,3d,9p ,1.157E+00,1.075E+00
,3d,4f,6.798E-01,7.211E-01
,3d,5f,2.574E-01,3.239E-01
,3d,6f,1.379E-02,3.322E-02
,3d,7f,2.142E-01,1.374E-01
,5s,5p,9.472E-01,9.444E-01
,5s,6p,9.522E-01,9.632E-01
,5s,7p,6.843E-01,6.939E-01
,5s,8p,7.207E-01,7.276E-01
,5s,9p ,8.453E-01,3.202E-01
,5s,4d,1.497E+01,1.590E+02
,5s,5d,1.536E+01,1.447E+01
,5s,6d,3.570E+00,3.272E+00
,5s,7d,1.127E+00,1.035E+00
,5s,8d,3.722E-01,nan
,5s,4f,6.189E+01,6.153E+01
,5s,5f,2.178E+00,2.198E+00
,5s,6f,2.136E-01,2.111E-01
,5s,7f,1.918E-01,1.857E-01
,5p,6s,4.361E-01,4.488E-01
,5p,7s,1.078E+00,1.085E+00
,5p,8s,1.116E+00,1.120E+00
,5p,9s,1.145E+00,1.148E+00
,5p,10s,1.165E+00,1.189E+00
x=0,4s,5s,1.418E+01,1.439E+01
,4s,6s,2.028E+00,2.031E+00
,4s,7s,5.810E-01,5.884E-01
,4s,8s,1.757E-01,1.771E-01
,4s,9s,6.340E-02,6.240E-02
,4s,10s,2.350E-02,2.482E-02
,4p,5p,7.615E+02,7.973E+02
,4p,6p,1.378E+02,1.445E+02
,4p,7p,5.657E+01,5.980E+01
,4p,8p,3.213E+01,3.415E+01
,4p,9p ,1.603E+01,3.654E+00
,3d,4d,nan,nan
,3d,5d,nan,nan
,3d,6d,nan,nan
,3d,7d,nan,nan
,3d,8d,nan,nan
,5s,6s,2.162E+02,2.159E+02
,5s,7s,2.769E+01,2.810E+01
,5s,8s,9.518E+00,9.470E+00
,5s,9s,4.619E+00,4.567E+00
,5s,10s,2.071E+00,2.193E+00
,5p,6p,1.296E+04,1.318E+04
,5p,7p,1.983E+03,2.003E+03
,5p,8p,7.698E+02,7.814E+02
,5p,9p ,4.070E+02,1.084E+02
,4d,5d,2.596E+03,2.927E+03
,4d,6d,3.462E+02,3.852E+02
,4d,7d,1.208E+02,1.399E+02
,4d,8d,6.066E+01,5.642E+00
,6s,7s,1.526E+03,1.547E+03
,6s,8s,1.806E+02,1.793E+02
,6s,9s,5.829E+01,5.748E+01
,6s,10s,2.722E+01,2.879E+01
,4f,5f,4.682E+04,4.586E+04
,4f,6f,7.789E+02,7.634E+02
,4f,7f,5.827E+03,5.726E+03
,6p,7p,1.041E+05,1.042E+05
,6p,8p,1.449E+04,1.460E+04
,6p,9p ,5.063E+03,1.334E+03
,5d,6d,1.608E+04,1.832E+04
,5d,7d,2.170E+03,2.427E+03
,5d,8d,6.657E+02,6.419E+01
,7s,8s,6.996E+03,6.969E+03
,7s,9s,7.707E+02,7.900E+02
,7s,10s,2.435E+02,2.593E+02
,5f,6f,3.324E+03,3.307E+03
,5f,7f,3.519E+02,3.514E+02
,7p,8p,5.761E+05,5.813E+05
,7p,9p ,7.101E+04,1.854E+04
,6d,7d,7.727E+04,8.712E+04
,6d,8d,8.322E+03,7.943E+02
,8s,9s,2.558E+04,2.513E+04
,8s,10s,2.716E+03,2.874E+03
,6f,7f,1.181E+04,1.179E+04
,8p,9p ,2.362E+06,6.016E+05
,7d,8d,2.585E+05,2.324E+04
,9s,10s,7.835E+04,8.323E+04
