"Multiconfiguration Dirac-Hartree-Fock energy levels, oscillator
strengths, transition probabilities, hyperfine constants and Land´e
g-factor of intermediate Rydberg series in neutral argon atom","Wa’el Salah1,a and Ola Hassouneh2",Eur. Phys. J. Plus (2017) 132: 160 THE EUROPEAN,,,,
,Designation,LS-Term,Energy [cm-1],,,
g,Ar,g-1S0,0,,,
4s,4s[3/2]2,4s-3P2,93143.76,,,
,4s[3/2]1,4s-3P1,93750.598,,,
,4s'[1/2]0,4s-3P0,94553.665,,,
,4s'[1/2]1,4s-1P1,95399.828,,,
4p,4p[1/2]1,4p-3S1,104102.1,,,
,4p[5/2]3,4p-3D3,105462.76,,,
,4p[5/2]2,4p-3D2,105617.27,,,
,4p[3/2]1,4p-3D1,106087.26,,,
,4p[3/2]2,4p-3P2,106237.55,,,
,4p[1/2]0,4p-3P0,107054.27,,,
,4p'[3/2]1,4p-1P1,107131.71,,,
,4p'[3/2]2,4p-1D2,107289.7,,,
,4p'[1/2]1,4p-3P1,107496.42,,,
,4p'[1/2]0,4p-1S0,108722.62,,,
3d,3d[1/2]0,3d-3P0,111667.77,,,
,3d[1/2]1,3d-3P1,111818.03,,,
,3d[7/2]4,3d-3F4,112750.15,,,
,3d[7/2]3,3d-3F3,113020.36,,,
,3d[3/2]2,3d-3P2,112138.92,,,
,3d[3/2]1,3d-3D1,114147.73,,,
,3d[5/2]2,3d-3F2,113425.96,,,
,3d[5/2]3,3d-1F3,113716.56,,,
,3d'[5/2]2,3d-1D2,114640.99,,,
,3d'[5/2]3,3d-3D3,114821.94,,,
,3d'[3/2]2,3d-3D2,114805.14,,,
,3d'[3/2]1,3d-1P1,115366.87,,,
5s,5s[3/2]2,5s-3P2,113468.47,,,
,5s[3/2]1,5s-3P1,113643.26,,,
,5s'[1/2]0,5s-3P0,114861.64,,,
,5s'[1/2]1,5s-1P1,114975.02,,,
4d,4d[1/2]0,4d-3P0,118512.2,,,
,4d[1/2]1,4d-3P1,118651.4,,,
,4d[7/2]4,4d-3F4,119023.65,,,
,4d[7/2]3,4d-3F3,119212.87,,,
,4d[3/2]2,4d-3P2,118906.61,,,
,4d[3/2]1,4d-3D1,119847.72,,,
,4d[5/2]2,4d-3F2,119444.83,,,
,4d[5/2]3,4d-1F3,119566.03,,,
,4d'[5/2]2,4d-1D2,120619.02,,,
,4d'[5/2]3,4d-3D3,120753.47,,,
,4d'[3/2]2,4d-3D2,120600.9,,,
,4d'[3/2]1,4d-1P1,121011.92,,,
5p,5p[1/2]1,5p-3S1,116659.99,,,
,5p[5/2]3,5p-3D3,116942.75,,,
,5p[5/2]2,5p-3D2,116990.33,,,
,5p[3/2]1,5p-3D1,117151.33,,,
,5p[3/2]2,5p-3P2,117183.59,,,
,5p[1/2]0,5p-3P0,117562.95,,,
,5p'[3/2]1,5p-1P1,118407.43,,,
,5p'[3/2]2,5p-1D2,118469.05,,,
,5p'[1/2]1,5p-3P1,118459.6,,,
,5p'[1/2]0,5p-1S0,118870.92,,,
6s,6s[3/2]2,6s-3P2,119683.08,,,
,6s[3/2]1,6s-3P1,119760.17,,,
,6s'[1/2]0,6s-3P0,121096.61,,,
,6s'[1/2]1,6s-1P1,121161.31,,,
