"Multiconfiguration Dirac-Hartree-Fock energy levels, oscillator
strengths, transition probabilities, hyperfine constants and Land´e
g-factor of intermediate Rydberg series in neutral argon atom","Wa’el Salah1,a and Ola Hassouneh2",Eur. Phys. J. Plus (2017) 132: 160 THE EUROPEAN,,,,,,,,,
,Designation,LS-Term,Energy [cm-1] NIST,Energy [cm-1],g,,S,P,d,f,
g,Ar,g-1S0,0,0,1.0,,3P2,3S1,3P0,3D1,
4s,Ar(4s[3/2]2),4s-3P2,93143.76,93162.20,5.0,,3P1,3D3,3P1,3D2,
,Ar(4s[3/2]1),4s-3P1,93750.598,93768.17,3.0,,3P0,3D2,3F4,1D2,
,Ar(4s'[1/2]0),4s-3P0,94553.665,94602.75,1.0,,1P1,3D1,3F3,3D3,
,Ar(4s'[1/2]1),4s-1P1,95399.828,95409.35,3.0,,,3P2,3P2,1F3,
4p,Ar(4p[1/2]1),4p-3S1,104102.1,104396.67,3.0,,,3P0,3D1,3F4,
,Ar(4p[5/2]3),4p-3D3,105462.76,105485.41,7.0,,,1P1,3F2,1G4,
,Ar(4p[5/2]2),4p-3D2,105617.27,105633.95,5.0,,,1D2,1F3,3G5,
,Ar(4p[3/2]1),4p-3D1,106087.26,106112.57,3.0,,,3P1,1D2,3F2,
,Ar(4p[3/2]2),4p-3P2,106237.55,106226.97,5.0,,,1S0,3D3,3F3,
,Ar(4p[1/2]0),4p-3P0,107054.27,107070.34,1.0,,,,3D2,3G3,
,Ar(4p'[3/2]1),4p-1P1,107131.71,107176.56,3.0,,,,1P1,3G4,
,Ar(4p'[3/2]2),4p-1D2,107289.7,107302.56,5.0,,,,,,
,Ar(4p'[1/2]1),4p-3P1,107496.42,107527.15,3.0,,,,,,
,Ar(4p'[1/2]0),4p-1S0,108722.62,108901.09,1.0,,,,,,
3d,Ar(3d[1/2]0),3d-3P0,111667.77,112440.54,1.0,,,,,,
,Ar(3d[1/2]1),3d-3P1,111818.03,112569.47,3.0,,,,,,
,Ar(3d[7/2]4),3d-3F4,112750.15,112880.93,9.0,,,,,,
,Ar(3d[7/2]3),3d-3F3,113020.36,113053.79,7.0,,,,,,
,Ar(3d[3/2]2),3d-3P2,112138.92,112829.07,5.0,,,,,,
,Ar(3d[3/2]1),3d-3D1,114147.73,114160.68,3.0,,,,,,
,Ar(3d[5/2]2),3d-3F2,113425.96,113407.88,5.0,,,,,,
,Ar(3d[5/2]3),3d-1F3,113716.56,113515.12,7.0,,,,,,
,Ar(3d'[5/2]2),3d-1D2,114640.99,114608.42,5.0,,,,,,
,Ar(3d'[5/2]3),3d-3D3,114821.94,114703.36,7.0,,,,,,
,Ar(3d'[3/2]2),3d-3D2,114805.14,114735.77,5.0,,,,,,
,Ar(3d'[3/2]1),3d-1P1,115366.87,115718.48,3.0,,,,,,
5s,Ar(5s[3/2]2),5s-3P2,113468.47,112977.04,5.0,,,,,,
,Ar(5s[3/2]1),5s-3P1,113643.26,114554.20,3.0,,,,,,
