,,lower,upper,gi,gk,Energy [cm^-1],fij(l),fij(v),Aij(l),Aij(v),lower,upper,Upper -> lower,Reversed (R) or ok (O) ,Wavelength (NIST energies),Wavelength (MCDHF energies)
g,4s,g-1S0,4s-3P1,1,3,93768.17,0.067075,0.051223,1.32E+08,1.06E+08,Ar,Ar(4s[3/2]1),Ar(4s[3/2]1)->Ar,O,106.67,106.65
g,4s,g-1S0,4s-1P1,1,3,95409.34,0.032639,0.018073,4.83E+08,3.67E+08,Ar,Ar(4s'[1/2]1),Ar(4s'[1/2]1)->Ar,O,104.82,104.81
g,3d,g-1S0,3d-3P1,1,3,112569.47,0.002744,0.002415,1.45E+07,1.36E+07,Ar,Ar(3d[1/2]1),Ar(3d[1/2]1)->Ar,O,89.43,88.83
g,3d,g-1S0,3d-3D1,1,3,114160.68,0.096092,0.084249,2.78E+08,2.44E+08,Ar,Ar(3d[3/2]1),Ar(3d[3/2]1)->Ar,O,87.61,87.6
g,3d,g-1S0,3d-1P1,1,3,115718.48,0.033697,0.029539,3.00E+08,2.93E+08,Ar,Ar(3d'[3/2]1),Ar(3d'[3/2]1)->Ar,O,86.68,86.42
4s,4p,4s-3P0,4p-3S1,1,3,9793.91,0.04768,0.05367,1.02E+06,1.14E+06,Ar(4s'[1/2]0),Ar(4p[1/2]1),Ar(4p[1/2]1)->Ar(4s'[1/2]0),O,1047.29,1021.04
4s,4p,4s-3P0,4p-3D1,1,3,11509.82,0.09175,0.07424,2.70E+06,2.19E+06,Ar(4s'[1/2]0),Ar(4p[3/2]1),Ar(4p[3/2]1)->Ar(4s'[1/2]0),O,867.03,868.82
4s,4p,4s-3P0,4p-1P1,1,3,12573.81,0.73149,0.49598,2.57E+07,1.74E+07,Ar(4s'[1/2]0),Ar(4p'[3/2]1),Ar(4p'[3/2]1)->Ar(4s'[1/2]0),O,795.04,795.3
4s,4p,4s-3P0,4p-3P1,1,3,12924.4,0.4086,0.26401,1.52E+07,9.81E+06,Ar(4s'[1/2]0),Ar(4p'[1/2]1),Ar(4p'[1/2]1)->Ar(4s'[1/2]0),O,772.63,773.73
4s,4p,4s-3P1,4p-3P0,3,1,13302.17,0.4521,0.27477,5.34E+07,3.24E+07,Ar(4s[3/2]1),Ar(4p[1/2]0),Ar(4p[1/2]0)->Ar(4s[3/2]1),O,751.67,751.76
4s,4p,4s-3P1,4p-1S0,3,1,15132.92,0.003315,0.00164,5.06E+05,2.47E+05,Ar(4s[3/2]1),Ar(4p'[1/2]0),Ar(4p'[1/2]0)->Ar(4s[3/2]1),O,667.91,660.81
4s,4p,4s-1P1,4p-3P0,3,1,11661,0.002573,0.00195,2.33E+05,1.77E+05,Ar(4s'[1/2]1),Ar(4p[1/2]0),Ar(4p[1/2]0)->Ar(4s'[1/2]1),O,858.04,857.56
4s,4p,4s-1P1,4p-1S0,3,1,13491.75,0.45872,0.26997,5.57E+07,3.28E+07,Ar(4s'[1/2]1),Ar(4p'[1/2]0),Ar(4p'[1/2]0)->Ar(4s'[1/2]1),O,750.59,741.19
4s,4p,4s-3P1,4p-3S1,3,3,10628.5,0.23963,0.22915,6.02E+06,5.76E+06,Ar(4s[3/2]1),Ar(4p[1/2]1),Ar(4p[1/2]1)->Ar(4s[3/2]1),O,966.04,940.87
4s,4p,4s-3P1,4p-3D1,3,3,12344.4,0.93583,0.65949,3.17E+07,2.23E+07,Ar(4s[3/2]1),Ar(4p[3/2]1),Ar(4p[3/2]1)->Ar(4s[3/2]1),O,810.59,810.08
4s,4p,4s-3P1,4p-1P1,3,3,13408.4,0.016,0.01009,6.41E+04,4.04E+04,Ar(4s[3/2]1),Ar(4p'[3/2]1),Ar(4p'[3/2]1)->Ar(4s[3/2]1),O,747.32,745.8
4s,4p,4s-3P1,4p-3P1,3,3,13758.98,0.05708,0.0322,2.40E+06,1.36E+06,Ar(4s[3/2]1),Ar(4p'[1/2]1),Ar(4p'[1/2]1)->Ar(4s[3/2]1),O,727.49,726.8
4s,4p,4s-1P1,4p-3S1,3,3,8987.32,0.01073,0.01411,1.93E+05,2.53E+05,Ar(4s'[1/2]1),Ar(4p[1/2]1),Ar(4p[1/2]1)->Ar(4s'[1/2]1),O,1149.13,1112.68
4s,4p,4s-1P1,4p-3D1,3,3,10703.23,0.04555,0.043005,1.16E+06,1.10E+06,Ar(4s'[1/2]1),Ar(4p[3/2]1),Ar(4p[3/2]1)->Ar(4s'[1/2]1),O,935.68,934.3
4s,4p,4s-1P1,4p-1P1,3,3,11767.22,0.05016,0.038725,1.54E+07,1.19E+07,Ar(4s'[1/2]1),Ar(4p'[3/2]1),Ar(4p'[3/2]1)->Ar(4s'[1/2]1),O,852.38,849.82
4s,4p,4s-1P1,4p-3P1,3,3,12117.81,0.66123,0.48433,2.16E+07,1.58E+07,Ar(4s'[1/2]1),Ar(4p'[1/2]1),Ar(4p'[1/2]1)->Ar(4s'[1/2]1),O,826.68,825.23
