Configuration,Term,J,g,Level (cm-1),Splitting,Reference,Paschen,LXCat
3s2.3p6,1S,0,1,0,0,,1s1,Ar
3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,5,93143.76,93143.76,,1s5,Ar(4s[3/2]2)
3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3,93750.5978,606.838,,1s4,Ar(4s[3/2]1)
3s2.3p5.(2P*<1/2>).4s,2[1/2]*,0,1,94553.6652,803.067,,1s3,Ar(4s'[1/2]0)
3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3,95399.8276,846.162,,1s2,Ar(4s'[1/2]1)
3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3,104102.099,8702.271,,2p10,Ar(4p[1/2]1)
3s2.3p5.(2P*<3/2>).4p,2[5/2],3,7,105462.7596,-1591.512,,2p9,Ar(4p[5/2]3)
3s2.3p5.(2P*<3/2>).4p,2[5/2],2,5,105617.27,154.51,,2p8,Ar(4p[5/2]2)
3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3,106087.2598,469.99,,2p7,Ar(4p[3/2]1)
3s2.3p5.(2P*<3/2>).4p,2[3/2],2,5,106237.5518,150.292,,2p6,Ar(4p[3/2]2)
3s2.3p5.(2P*<3/2>).4p,2[1/2],0,1,107054.272,2952.173,,2p5,Ar(4p[1/2]0)
3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3,107131.7086,894.157,,2p4,Ar(4p'[3/2]1)
3s2.3p5.(2P*<1/2>).4p,2[3/2],2,5,107289.7001,157.992,,2p3,Ar(4p'[3/2]2)
3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3,107496.4166,206.716,,2p2,Ar(4p'[1/2]1)
3s2.3p5.(2P*<1/2>).4p,2[1/2],0,1,108722.6194,1226.203,,2p1,Ar(4p'[1/2]0)
