    Observed    ,  Rel. ,     Aki     ,     fik     ,      S     ,Ei,Ek,              Lower level              ,,,Paschen,              Upper level              ,,,Paschen,gi,gk,    TP  ,   Line  
   Wavelength   ,  Int. ,   (s^-1)    ,             ,    (a.u.)  ,(cm^-1),(cm^-1),,,,,,,,,           ,,   Ref. ,   Ref.  
    Vac (nm)    ,       ,             ,             ,            ,                              ,, Conf.                 , Term    , J   ,, Conf.                 , Term    , J   ,,,,,
                ,       ,             ,             ,            ,,,                       ,         ,     ,,                       ,         ,     ,,           ,,        ,         
104.822, 1000r ,5.32E+08,2.63E-01,9.07E-01,0,95399.8276, 3s2.3p6               , 1S      ,0,1s1, 3s2.3p5.(2P*<1/2>).4s , 2[1/2]* ,1,1s2,1,3,  T7574 ,  L2131  
106.666,  500r ,1.32E+08,6.75E-02,2.37E-01,0,93750.5978, 3s2.3p6               , 1S      ,0,1s1, 3s2.3p5.(2P*<3/2>).4s , 2[3/2]* ,1,1s4,1,3,  T7574 ,  L2131  
667.7282,100,2.36E+05,5.30E-04,3.50E-02,93750.5978,108722.6194, 3s2.3p5.(2P*<3/2>).4s , 2[3/2]* ,1,1s4, 3s2.3p5.(2P*<1/2>).4p , 2[1/2]  ,0,2p1,3,1,  T5223 ,  L2634  
696.5431,10000,6.40E+06,2.79E-02,3.20E+00,93143.76,107496.4166, 3s2.3p5.(2P*<3/2>).4s , 2[3/2]* ,2,1s5, 3s2.3p5.(2P*<1/2>).4p , 2[1/2]  ,1,2p2,5,3,  T5223 ,  L2634  
706.7218,10000,3.80E+06,2.85E-02,3.30E+00,93143.76,107289.7001, 3s2.3p5.(2P*<3/2>).4s , 2[3/2]* ,2,1s5, 3s2.3p5.(2P*<1/2>).4p , 2[3/2]  ,2,2p3,5,5,  T5223 ,  L2634  
714.7042,1000,6.30E+05,2.87E-03,3.40E-01,93143.76,107131.7086, 3s2.3p5.(2P*<3/2>).4s , 2[3/2]* ,2,1s5, 3s2.3p5.(2P*<1/2>).4p , 2[3/2]  ,1,2p4,5,3,  T5223 ,  L2634  
727.2936,2000,1.83E+06,1.45E-02,1.04E+00,93750.5978,107496.4166, 3s2.3p5.(2P*<3/2>).4s , 2[3/2]* ,1,1s4, 3s2.3p5.(2P*<1/2>).4p , 2[1/2]  ,1,2p2,3,3,  T5223 ,  L2634  
738.398,10000,8.50E+06,1.15E-01,8.40E+00,93750.5978,107289.7001, 3s2.3p5.(2P*<3/2>).4s , 2[3/2]* ,1,1s4, 3s2.3p5.(2P*<1/2>).4p , 2[3/2]  ,2,2p3,3,5,  T5223 ,  L2634  
750.3869,20000,4.50E+07,1.25E-01,9.30E+00,95399.8276,108722.6194, 3s2.3p5.(2P*<1/2>).4s , 2[1/2]* ,1,1s2, 3s2.3p5.(2P*<1/2>).4p , 2[1/2]  ,0,2p1,3,1,  T5223 ,  L2634  
751.4652,15000,4.00E+07,1.14E-01,8.40E+00,93750.5978,107054.272, 3s2.3p5.(2P*<3/2>).4s , 2[3/2]* ,1,1s4, 3s2.3p5.(2P*<3/2>).4p , 2[1/2]  ,0,2p5,3,1,  T5223 ,  L2634  
763.5106,25000,2.45E+07,2.14E-01,2.69E+01,93143.76,106237.5518, 3s2.3p5.(2P*<3/2>).4s , 2[3/2]* ,2,1s5, 3s2.3p5.(2P*<3/2>).4p , 2[3/2]  ,2,2p6,5,5,  T5223 ,  L2634  
772.3761,15000,5.20E+06,2.78E-02,3.54E+00,93143.76,106087.2598, 3s2.3p5.(2P*<3/2>).4s , 2[3/2]* ,2,1s5, 3s2.3p5.(2P*<3/2>).4p , 2[3/2]  ,1,2p7,5,3,  T5223 ,  L2634  
772.4207,10000,1.17E+07,3.14E-01,8.00E+00,94553.6652,107496.4166, 3s2.3p5.(2P*<1/2>).4s , 2[1/2]* ,0,1s3, 3s2.3p5.(2P*<1/2>).4p , 2[1/2]  ,1,2p2,1,3,  T5223 ,  L2634  
794.8176,20000,1.86E+07,5.30E-01,1.38E+01,94553.6652,107131.7086, 3s2.3p5.(2P*<1/2>).4s , 2[1/2]* ,0,1s3, 3s2.3p5.(2P*<1/2>).4p , 2[3/2]  ,1,2p4,1,3,  T5223 ,  L2634  
800.6157,20000,4.90E+06,7.90E-02,6.20E+00,93750.5978,106237.5518, 3s2.3p5.(2P*<3/2>).4s , 2[3/2]* ,1,1s4, 3s2.3p5.(2P*<3/2>).4p , 2[3/2]  ,2,2p6,3,5,  T5223 ,  L2634  
801.4786,25000,9.30E+06,8.90E-02,1.18E+01,93143.76,105617.27, 3s2.3p5.(2P*<3/2>).4s , 2[3/2]* ,2,1s5, 3s2.3p5.(2P*<3/2>).4p , 2[5/2]  ,2,2p8,5,5,  T5223 ,  L2634  
810.3693,20000,2.50E+07,2.46E-01,1.97E+01,93750.5978,106087.2598, 3s2.3p5.(2P*<3/2>).4s , 2[3/2]* ,1,1s4, 3s2.3p5.(2P*<3/2>).4p , 2[3/2]  ,1,2p7,3,3,  T5223 ,  L2634  
