Configuration,Term,J,g,Prefix,Level (cm-1),Suffix
3s2.3p6,1S,0,1,,0,
3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,5,,93143.76,
3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3,,93750.5978,
3s2.3p5.(2P*<1/2>).4s,2[1/2]*,0,1,,94553.6652,
3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3,,95399.8276,
3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3,,104102.099,
3s2.3p5.(2P*<3/2>).4p,2[5/2],3,7,,105462.7596,
3s2.3p5.(2P*<3/2>).4p,2[5/2],2,5,,105617.27,
3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3,,106087.2598,
3s2.3p5.(2P*<3/2>).4p,2[3/2],2,5,,106237.5518,
3s2.3p5.(2P*<3/2>).4p,2[1/2],0,1,,107054.272,
3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3,,107131.7086,
3s2.3p5.(2P*<1/2>).4p,2[3/2],2,5,,107289.7001,
3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3,,107496.4166,
3s2.3p5.(2P*<1/2>).4p,2[1/2],0,1,,108722.6194,
3s2.3p5.(2P*<3/2>).3d,2[1/2]*,0,1,,111667.766,
3s2.3p5.(2P*<3/2>).3d,2[1/2]*,1,3,,111818.028,
3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,5,,112138.924,
3s2.3p5.(2P*<3/2>).3d,2[7/2]*,4,9,,112750.153,
3s2.3p5.(2P*<3/2>).3d,2[7/2]*,3,7,,113020.355,
3s2.3p5.(2P*<3/2>).3d,2[5/2]*,2,5,,113425.964,
3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,5,,113468.473,
3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,3,,113643.26,
3s2.3p5.(2P*<3/2>).3d,2[5/2]*,3,7,,113716.555,
3s2.3p5.(2P*<3/2>).3d,2[3/2]*,1,3,,114147.732,
3s2.3p5.(2P*<1/2>).3d,2[5/2]*,2,5,,114640.992,
3s2.3p5.(2P*<1/2>).3d,2[3/2]*,2,5,,114805.135,
3s2.3p5.(2P*<1/2>).3d,2[5/2]*,3,7,,114821.939,
3s2.3p5.(2P*<1/2>).5s,2[1/2]*,0,1,,114861.635,
3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,3,,114975.019,
3s2.3p5.(2P*<1/2>).3d,2[3/2]*,1,3,,115366.866,
3s2.3p5.(2P*<3/2>).5p,2[1/2],1,3,,116659.9934,
3s2.3p5.(2P*<3/2>).5p,2[5/2],3,7,,116942.7542,
3s2.3p5.(2P*<3/2>).5p,2[5/2],2,5,,116999.3259,
3s2.3p5.(2P*<3/2>).5p,2[3/2],1,3,,117151.3264,
3s2.3p5.(2P*<3/2>).5p,2[3/2],2,5,,117183.5901,
3s2.3p5.(2P*<3/2>).5p,2[1/2],0,1,,117562.9553,
3s2.3p5.(2P*<1/2>).5p,2[3/2],1,3,,118407.4303,
3s2.3p5.(2P*<1/2>).5p,2[1/2],1,3,,118459.5975,
3s2.3p5.(2P*<1/2>).5p,2[3/2],2,5,,118469.0508,
3s2.3p5.(2P*<1/2>).5p,2[1/2],0,1,,118870.917,
