obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),S(a.u.),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
86.6800,86.6800,180,3.13E+08,3.02E-01,C+,0.0000,115366.866,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,1,1,3,,
86.9754,86.9754,150,3.5E+07,3.41E-02,C,0.0000,114975.019,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,1,3,,
87.6058,87.6058,180r,2.7E+08,2.69E-01,C+,0.0000,114147.732,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,1,1,3,,
87.9947,87.9947,180r,7.7E+07,7.8E-02,C,0.0000,113643.260,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,1,3,,
104.8220,104.8220,1000r,5.32E+08,9.07E-01,AA,0.0000,95399.8276,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,1,3,,
106.6660,106.6660,500r,1.32E+08,2.37E-01,A+,0.0000,93750.5978,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,1,3,,
,340.6180,,3.9E+05,7.6E-03,D,95399.8276,124749.805,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<1/2>).7p,2[1/2],0,3,1,,
346.107,346.1078,7,6.7E+04,6.9E-03,D,93750.5978,122635.054,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<1/2>).6p,2[3/2],2,3,5,,
355.4306,355.4305,7,2.7E+05,3E-02,D,93143.7600,121270.617,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).6p,2[3/2],2,5,5,,
,356.3286,,1.2E+05,8E-03,D,94553.6652,122609.637,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,0,3s2.3p5.(2P*<1/2>).6p,2[3/2],1,1,3,,
,356.7656,,1.1E+05,1.7E-02,D,93143.7600,121165.367,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).6p,2[5/2],3,5,7,,
,357.2295,,5.1E+05,1.1E-02,D,95399.8276,123385.044,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).7p,2[1/2],0,3,1,,
360.6522,360.6522,7,7.6E+05,1.8E-02,D,93750.5978,121470.238,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).6p,2[1/2],0,3,1,,
,363.2683,,6.6E+04,7.8E-03,D,93750.5978,121270.617,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).6p,2[3/2],2,3,5,,
,363.4460,,1.3E+05,9.2E-03,D,93750.5978,121257.161,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).6p,2[3/2],1,3,3,,
,364.3116,,2.4E+04,2.9E-03,D,93750.5978,121191.805,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).6p,2[5/2],2,3,5,,
,364.9832,,8E+05,1.9E-02,D,95399.8276,122790.547,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<1/2>).6p,2[1/2],0,3,1,,
,365.9529,,4.4E+04,3.2E-03,D,93750.5978,121068.736,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).6p,2[1/2],1,3,3,,
,367.0670,,3.1E+04,3.8E-03,D,95399.8276,122635.054,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<1/2>).6p,2[3/2],2,3,5,,
,367.5235,,4.9E+04,3.6E-03,D,95399.8276,122601.225,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<1/2>).6p,2[1/2],1,3,3,,
377.0369,377.0369,20,7E+04,5.6E-03,D,94553.6652,121068.736,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,0,3s2.3p5.(2P*<3/2>).6p,2[1/2],1,1,3,,
383.4679,383.4678,7,7.5E+05,2.1E-02,D,95399.8276,121470.238,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).6p,2[1/2],0,3,1,,
,389.4660,,5.7E+04,5E-03,D,95399.8276,121068.736,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).6p,2[1/2],1,3,3,,
394.7505,394.7505,7,5.6E+04,8.5E-03,C+,93143.7600,118469.0508,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<1/2>).5p,2[3/2],2,5,5,,
394.8979,394.8979,35,4.6E+05,4.2E-02,B,93143.7600,118459.5975,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<1/2>).5p,2[1/2],1,5,3,,
404.4418,404.4418,50,3.3E+05,5.4E-02,B,93750.5978,118469.0508,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<1/2>).5p,2[3/2],2,3,5,,
,404.5965,,4.1E+04,4E-03,B,93750.5978,118459.5975,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<1/2>).5p,2[1/2],1,3,3,,
,405.4526,,2.7E+04,2.7E-03,C+,93750.5978,118407.4303,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<1/2>).5p,2[3/2],1,3,3,,
415.8590,415.8591,400,1.4E+06,2.49E-01,B,93143.7600,117183.5901,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).5p,2[3/2],2,5,5,,
416.4180,416.4180,50,2.9E+05,3.1E-02,B,93143.7600,117151.3264,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).5p,2[3/2],1,5,3,,
418.1884,418.1884,50,5.6E+05,6.1E-02,B,94553.6652,118459.5975,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,0,3s2.3p5.(2P*<1/2>).5p,2[1/2],1,1,3,,
419.0713,419.0713,100,2.8E+05,5.1E-02,B,93143.7600,116999.3259,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).5p,2[5/2],2,5,5,,
419.1029,419.1029,50,5.4E+05,5.9E-02,C+,94553.6652,118407.4303,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,0,3s2.3p5.(2P*<1/2>).5p,2[3/2],1,1,3,,
419.8317,419.8317,200,2.57E+06,9.4E-02,B,93750.5978,117562.9553,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).5p,2[1/2],0,3,1,,
420.0674,420.0675,400,9.7E+05,2.48E-01,B+,93143.7600,116942.7542,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).5p,2[5/2],3,5,7,,
425.1185,425.1185,25,1.11E+05,1.26E-02,C+,93143.7600,116659.9934,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).5p,2[1/2],1,5,3,,
425.9362,425.9362,200,3.98E+06,1.52E-01,B+,95399.8276,118870.9170,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<1/2>).5p,2[1/2],0,3,1,,
426.6286,426.6287,100,3.1E+05,6E-02,C+,93750.5978,117183.5901,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).5p,2[3/2],2,3,5,,
427.2169,427.2169,150,8E+05,9.2E-02,B,93750.5978,117151.3264,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).5p,2[3/2],1,3,3,,
430.0101,430.0101,100,3.77E+05,7.4E-02,B+,93750.5978,116999.3259,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).5p,2[5/2],2,3,5,,
433.3561,433.3561,100,5.7E+05,1.14E-01,B+,95399.8276,118469.0508,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<1/2>).5p,2[3/2],2,3,5,,
433.5338,433.5338,50,3.9E+05,4.7E-02,C+,95399.8276,118459.5975,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<1/2>).5p,2[1/2],1,3,3,,
434.5168,434.5168,25,3E+05,3.6E-02,B,95399.8276,118407.4303,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<1/2>).5p,2[3/2],1,3,3,,
,436.3795,,1.2E+04,1.48E-03,B,93750.5978,116659.9934,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).5p,2[1/2],1,3,3,,
,442.3994,,7.3E+03,9.4E-04,C+,94553.6652,117151.3264,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,0,3s2.3p5.(2P*<3/2>).5p,2[3/2],1,1,3,,
451.0733,451.0733,100,1.18E+06,5.3E-02,B+,95399.8276,117562.9553,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).5p,2[1/2],0,3,1,,
452.2323,452.2323,20,9E+04,1.23E-02,B,94553.6652,116659.9934,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,0,3s2.3p5.(2P*<3/2>).5p,2[1/2],1,1,3,,
,454.4746,,8.3E+04,1.2E-02,E,104102.0990,126099.36,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).11d,2[1/2]*,1,3,3,,
,455.4324,,3.8E+04,8.9E-03,E,104102.0990,126053.10,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).7d,2[3/2]*,2,3,5,,
,458.4956,,1.6E+05,3.8E-02,E,104102.0990,125906.45,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).10d,2[3/2]*,2,3,5,,
,458.6611,,2.3E+05,3.3E-02,E,104102.0990,125898.58,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).10d,2[1/2]*,1,3,3,,
,458.7209,,4.9E+05,2.3E-02,E,104102.0990,125895.74,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).10d,2[1/2]*,0,3,1,,
,458.9289,,6.2E+03,1.5E-03,C,95399.8276,117183.5901,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).5p,2[3/2],2,3,5,,
459.6097,459.6097,15,9.5E+04,1.36E-02,B,95399.8276,117151.3264,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).5p,2[3/2],1,3,3,,
462.8441,462.8441,7,3.83E+04,9.4E-03,B+,95399.8276,116999.3259,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).5p,2[5/2],2,3,5,,
,464.2137,,9.6E+04,2.4E-02,E,104102.0990,125637.87,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).9d,2[3/2]*,2,3,5,,
,464.7489,,1.2E+05,1.8E-02,E,104102.0990,125613.07,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).9d,2[1/2]*,1,3,3,,
470.2316,470.2316,15,1.09E+05,1.68E-02,B,95399.8276,116659.9934,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).5p,2[1/2],1,3,3,,
,474.6821,,3.6E+05,1.9E-02,E,104102.0990,125162.94,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).8d,2[1/2]*,0,3,1,,
,475.2939,,4.5E+05,7.2E-02,E,104102.0990,125135.831,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).8d,2[1/2]*,1,3,3,,
,476.8673,,8.6E+05,2.3E-01,D,104102.0990,125066.432,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).6d,2[3/2]*,2,3,5,,
,479.8742,,8.8E+04,4.3E-02,E,105462.7596,126295.73,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).12d,2[7/2]*,4,7,9,,
,483.5970,,9.3E+04,4.7E-02,E,105462.7596,126135.36,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).11d,2[7/2]*,4,7,9,,
,483.6697,,1.02E+05,2.85E-02,C,104102.0990,124771.59,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).9s,2[3/2]*,2,3,5,,
,487.6261,,7.8E+05,2.2E-01,D,104102.0990,124603.890,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).7d,2[3/2]*,2,3,5,,
,488.6290,,1.2E+05,6.2E-02,E,105462.7596,125922.47,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).10d,2[7/2]*,4,7,9,,
,488.7947,,1.3E+06,2.2E-01,D,104102.0990,124554.874,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).7d,2[1/2]*,1,3,3,,
,489.4691,,1.8E+06,1E-01,D,104102.0990,124526.695,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).7d,2[1/2]*,0,3,1,,
,492.1034,,5.9E+04,2.4E-02,E,105617.2700,125932.53,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).10d,2[7/2]*,3,5,7,,
,493.7720,,3.6E+04,1.1E-02,E,105462.7596,125709.37,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).11s,2[3/2]*,2,7,5,,
,495.6750,,1.8E+05,9.7E-02,E,105462.7596,125631.64,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).9d,2[7/2]*,4,7,9,,
,498.9943,,1.1E+05,4.7E-02,E,105617.2700,125651.99,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).9d,2[7/2]*,3,5,7,,
,503.2024,,8.2E+04,2.6E-02,E,105462.7596,125329.94,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).10s,2[3/2]*,2,7,5,,
,504.8811,,4.6E+05,1.5E-01,D,104102.0990,123903.220,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).8s,2[3/2]*,2,3,5,,
,505.4176,,4.5E+05,8.6E-02,D,104102.0990,123882.203,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).7s,2[1/2]*,1,3,3,,
,505.6529,,5.7E+05,3.6E-02,D,104102.0990,123873.000,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).7s,2[1/2]*,0,3,1,,
,506.0079,,3.7E+05,2.1E-01,E,105462.7596,125219.788,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).8d,2[7/2]*,4,7,9,,
,507.0977,,2.6E+05,5E-02,E,105617.2700,125331.84,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).10s,2[3/2]*,1,5,3,,
,507.3076,,5.9E+04,1.9E-02,D,104102.0990,123808.513,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).6d,2[3/2]*,2,3,5,,
,507.8033,,4.7E+04,2.1E-02,E,105462.7596,125149.937,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<1/2>).6d,2[5/2]*,3,7,7,,
