Reduced electric field (Td),Energy (eV)
1.38300E+02,5.24460E+00
2.76170E+02,6.23650E+00
4.11830E+02,6.80620E+00
5.79840E+02,7.14490E+00
2.50000E-01,3.02820E-01
3.00000E-01,3.57270E-01
3.50000E-01,3.65280E-01
4.00000E-01,3.98310E-01
5.00000E-01,4.45780E-01
6.00000E-01,4.91540E-01
7.00000E-01,5.14020E-01
8.00000E-01,5.28570E-01
1.00000E+00,6.04100E-01
1.20000E+00,6.54900E-01
1.40000E+00,6.95620E-01
1.70000E+00,7.00300E-01
2.00000E+00,7.90700E-01
2.50000E+00,8.56350E-01
3.00000E+00,9.05510E-01
3.50000E+00,1.08100E+00
4.00000E+00,1.17480E+00
4.50000E+00,1.61300E+00
5.00000E+00,1.97890E+00
6.00000E+00,2.51060E+00
7.00000E+00,3.16820E+00
8.00000E+00,3.34300E+00
1.00000E+01,3.68200E+00
1.20000E+01,3.45640E+00
1.40000E+01,3.65670E+00
1.70000E+01,3.62940E+00
2.00000E+01,3.67020E+00
2.50000E+01,3.91740E+00
3.00000E+01,3.77490E+00
3.60000E+01,4.09770E+00
4.00000E+01,3.93020E+00
5.00000E+01,4.22330E+00
2.02000E-03,2.72900E-02
2.53000E-03,6.20300E-02
3.00000E-03,1.28660E-01
3.61000E-03,1.76560E-01
4.03000E-03,1.68150E-01
4.54000E-03,1.55930E-01
5.01000E-03,1.27710E-01
6.16000E-03,8.74000E-02
8.04000E-03,7.79000E-02
9.79000E-03,8.45500E-02
1.45300E-02,8.55000E-02
1.97200E-02,9.48700E-02
2.02000E-03,2.72900E-02
2.56000E-03,6.29800E-02
3.03000E-03,1.22140E-01
3.51000E-03,1.59600E-01
3.99000E-03,1.54980E-01
4.45000E-03,1.48330E-01
4.91000E-03,1.44670E-01
5.75000E-03,1.14540E-01
9.89000E-03,7.42400E-02
2.95600E-02,9.58200E-02
3.97600E-02,1.16440E-01
5.89300E-02,1.53080E-01
6.20000E-04,8.50000E-03
7.80000E-04,6.30000E-03
9.30000E-04,5.80000E-03
1.55000E-03,5.80000E-03
