Reduced electric field (Td),Mobility x gas density ((m.V.s)-1),Reduced electric field (Td),Mobility x gas density ((m.V.s)-1)
6.1438000E-04,1.3661000E+26,2.0000000E-01,1.1685000E+25
1.0800000E-03,1.4952000E+26,2.2000000E-01,1.0641000E+25
1.5100000E-03,1.3653000E+26,2.4000000E-01,9.8833000E+24
2.3500000E-03,2.0112000E+26,2.5000000E-01,9.3400000E+24
3.0700000E-03,2.0259000E+26,2.6000000E-01,9.4154000E+24
3.0700000E-03,2.1299000E+26,2.7000000E-01,8.8185000E+24
3.0700000E-03,2.2393000E+26,2.8000000E-01,8.5357000E+24
4.5300000E-03,1.9475000E+26,3.0000000E-01,8.0633000E+24
6.2200000E-03,1.5682000E+26,3.5000000E-01,7.1371000E+24
9.1800000E-03,1.1164000E+26,4.0000000E-01,6.3175000E+24
1.5300000E-02,7.4072000E+25,4.5000000E-01,5.7467000E+24
1.8600000E-02,6.4058000E+25,5.0000000E-01,5.2400000E+24
2.3200000E-02,5.1357000E+25,5.5000000E-01,4.8745000E+24
3.0300000E-02,4.1341000E+25,6.0000000E-01,4.5400000E+24
3.1100000E-02,4.3419000E+25,6.5000000E-01,4.2339000E+24
4.5900000E-02,3.0929000E+25,7.0000000E-01,3.9843000E+24
6.1400000E-02,2.4924000E+25,7.5000000E-01,3.7667000E+24
9.0700000E-02,1.9606000E+25,8.0000000E-01,3.5500000E+24
1.4770000E-01,1.2979000E+25,8.5000000E-01,3.3965000E+24
1.7950000E-01,1.1227000E+25,9.0000000E-01,3.2356000E+24
1.7950000E-01,1.1804000E+25,9.5000000E-01,3.0810000E+24
1.7950000E-01,1.2410000E+25,1.0000000E+00,3.0040000E+24
3.5510000E-01,6.7621000E+24,1.2000000E+00,2.5842000E+24
6.0690000E-01,4.4840000E+24,1.4000000E+00,2.2486000E+24
7.5580000E-01,3.9797000E+24,1.6000000E+00,2.0131000E+24
9.1840000E-01,3.3581000E+24,1.8000000E+00,1.8283000E+24
1.1718000E+00,2.7670000E+24,2.0000000E+00,1.7035000E+24
1.4240000E+00,2.3939000E+24,2.2000000E+00,1.5741000E+24
,,2.4000000E+00,1.4613000E+24
,,2.6000000E+00,1.3761000E+24
,,2.8000000E+00,1.2893000E+24
,,3.0000000E+00,1.2173000E+24
,,3.5000000E+00,1.0754000E+24
,,4.0000000E+00,9.7025000E+23
,,4.5000000E+00,8.9644000E+23
,,5.0000000E+00,8.4520000E+23
,,5.5000000E+00,8.2800000E+23
,,6.0000000E+00,8.0467000E+23
,,6.5000000E+00,8.0723000E+23
,,7.0000000E+00,8.0657000E+23
,,7.5000000E+00,8.0960000E+23
,,8.0000000E+00,8.1200000E+23
,,8.5000000E+00,8.1624000E+23
,,9.0000000E+00,8.2289000E+23
,,9.5000000E+00,8.2695000E+23
,,1.0000000E+01,8.2820000E+23
,,1.2000000E+01,8.3583000E+23
,,1.4000000E+01,8.3571000E+23
,,1.6000000E+01,8.3625000E+23
,,1.8000000E+01,8.3056000E+23
,,2.0000000E+01,8.2550000E+23
,,2.2000000E+01,8.2364000E+23
,,2.4000000E+01,8.1875000E+23
,,2.6000000E+01,8.1038000E+23
,,2.8000000E+01,8.0536000E+23
,,3.0000000E+01,8.0900000E+23
,,3.5000000E+01,7.9371000E+23
,,4.0000000E+01,7.8375000E+23
,,4.5000000E+01,7.6600000E+23
,,5.0000000E+01,7.5900000E+23
,,5.5000000E+01,7.4564000E+23
,,6.0000000E+01,7.3717000E+23
,,6.5000000E+01,7.2846000E+23
,,7.0000000E+01,7.1771000E+23
,,7.5000000E+01,7.1120000E+23
,,8.0000000E+01,7.2575000E+23
,,8.5000000E+01,7.1906000E+23
,,9.0000000E+01,7.0533000E+23
,,9.5000000E+01,7.1263000E+23
,,1.0000000E+02,7.0190000E+23
,,1.2000000E+02,6.8083000E+23
,,1.4000000E+02,6.7429000E+23
,,1.6000000E+02,6.6437000E+23
,,1.8000000E+02,6.5889000E+23
,,2.0000000E+02,6.6700000E+23
,,2.2000000E+02,6.6136000E+23
,,2.4000000E+02,6.5833000E+23
,,2.6000000E+02,6.7308000E+23
