Reduced electric field (Td),Mobility (cm2/Vs)
1.00000000E+03,6.10037200E-01
2.00000000E+03,4.42379200E-01
3.00000000E+03,3.69268900E-01
5.00000000E+03,2.94423800E-01
1.00000000E+04,2.14869900E-01
2.00000000E+04,1.58921900E-01
3.00000000E+04,1.32961600E-01
5.00000000E+04,1.07063200E-01
1.00000000E+05,8.02974000E-02
5.00000000E+01,1.44400000E+00
6.00000000E+01,1.41300000E+00
7.00000000E+01,1.38100000E+00
8.00000000E+01,1.35200000E+00
9.00000000E+01,1.32400000E+00
1.00000000E+02,1.29600000E+00
1.10000000E+02,1.26900000E+00
1.20000000E+02,1.24600000E+00
1.30000000E+02,1.21900000E+00
1.40000000E+02,1.19700000E+00
1.50000000E+02,1.17600000E+00
1.60000000E+02,1.15500000E+00
2.00000000E+02,1.08500000E+00
3.00000000E+02,9.51000000E-01
8.00000000E+00,1.53000000E+00
1.00000000E+01,1.53000000E+00
1.20000000E+01,1.53000000E+00
1.50000000E+01,1.52000000E+00
2.00000000E+01,1.51000000E+00
2.50000000E+01,1.49000000E+00
3.00000000E+01,1.47000000E+00
5.00000000E+01,1.41000000E+00
6.00000000E+01,1.38000000E+00
8.00000000E+01,1.32000000E+00
1.00000000E+02,1.27000000E+00
1.20000000E+02,1.22000000E+00
1.50000000E+02,1.16000000E+00
2.00000000E+02,1.06000000E+00
2.50000000E+02,9.90000000E-01
3.00000000E+02,9.50000000E-01
4.00000000E+02,8.50000000E-01
5.00000000E+02,7.80000000E-01
6.00000000E+02,7.20000000E-01
8.00000000E+02,6.30000000E-01
1.00000000E+03,5.60000000E-01
1.20000000E+03,5.10000000E-01
1.50000000E+03,4.60000000E-01
2.00000000E+03,4.00000000E-01
1.50000000E+02,1.17600000E+00
3.00000000E+02,9.57000000E-01
3.50000000E+02,9.08000000E-01
4.00000000E+02,8.64000000E-01
4.50000000E+02,8.30000000E-01
5.00000000E+02,7.95000000E-01
5.50000000E+02,7.68000000E-01
6.00000000E+02,7.44000000E-01
7.00000000E+02,6.97000000E-01
8.00000000E+02,6.61000000E-01
9.00000000E+02,6.31000000E-01
1.00000000E+03,6.05000000E-01
